ori,,2019,2021,perc_21_19
NC0790000,Rockingham County Sheriff's Office,9.0,8.0,0.8888888888888888
NC0800000,Rowan County Sheriff's Office,19.0,41.0,2.1578947368421053
NC0820000,Sampson County Sheriff's Office,40.0,35.0,0.875
NC0900000,Union County Sheriff's Office,35.0,56.0,1.6
NC0920000,Wake County Sheriff's Office,30.0,49.0,1.6333333333333333
NC0920100,Raleigh Police Department,203.0,489.0,2.4088669950738915
NC0920200,Apex Police Department,7.0,4.0,0.5714285714285714
NC0920300,Cary Police Department,16.0,32.0,2.0
NC0960000,Wayne County Sheriff's Office,43.0,50.0,1.1627906976744187
NC0970000,Wilkes County Sheriff's Office,18.0,14.0,0.7777777777777778
ND0080100,Bismarck Police Department,2.0,3.0,1.5
ND0090200,Fargo Police Department,6.0,18.0,3.0
ND0180100,Grand Forks Police Department,1.0,4.0,4.0
NH0063400,Manchester Police Department,104.0,95.0,0.9134615384615384
NH0064600,Nashua Police Department,1.0,2.0,2.0
NM0010100,Albuquerque Police Department,1211.0,1708.0,1.4104046242774566
NM0070000,Dona Ana County Sheriff's Office,17.0,64.0,3.764705882352941
OH0091500,West Chester Township Police Department,4.0,16.0,4.0
OH0120000,Clark County Sheriff's Office,2.0,5.0,2.5
OH0130000,Clermont County Sheriff's Office,24.0,9.0,0.375
OH0184200,Parma Police Department,17.0,19.0,1.1176470588235294
OH0230000,Fairfield County Sheriff's Office,11.0,11.0,1.0
OH0250000,Franklin County Sheriff's Office,2.0,5.0,2.5
OH0250300,Dublin Police Department,4.0,0.0,0.0
OH0314200,Colerain Township Police Department,5.0,28.0,5.6
OH0314400,Green Township Police Department,0.0,12.0,inf
OH0450100,Newark Police Department,10.0,12.0,1.2
OH0470000,Lorain County Sheriff's Office,4.0,9.0,2.25
OH0470400,Elyria Police Department,12.0,27.0,2.25
OH0470500,Lorain Police Department,45.0,67.0,1.488888888888889
OH0480000,Lucas County Sheriff's Office,15.0,15.0,1.0
OH0480700,Toledo Police Department,594.0,902.0,1.5185185185185186
OH0500900,Youngstown Police Department,49.0,178.0,3.63265306122449
OH0570000,Montgomery County Sheriff's Office,48.0,71.0,1.4791666666666667
OH0570200,Dayton Police Department,275.0,461.0,1.6763636363636363
OH0700000,Richland County Sheriff's Office,9.0,13.0,1.4444444444444444
OH0710000,Ross County Sheriff's Office,19.0,13.0,0.6842105263157895
OH0730000,Scioto County Sheriff's Office,7.0,4.0,0.5714285714285714
OH0760000,Stark County Sheriff's Office,15.0,25.0,1.6666666666666667
OH0760400,Canton Police Department,192.0,291.0,1.515625
OH0770000,Summit County Sheriff's Office,5.0,12.0,2.4
OH0770100,Akron Police Department,304.0,434.0,1.4276315789473684
OH0830000,Warren County Sheriff's Office,6.0,7.0,1.1666666666666667
OH0850000,Wayne County Sheriff's Office,5.0,8.0,1.6
OHCIP0000,Cincinnati Police Department,653.0,862.0,1.3200612557427258
OHCLP0000,Cleveland Police Department,989.0,1589.0,1.6066734074823052
OHCOP0000,Columbus Police Department,700.0,1216.0,1.737142857142857
OK0140200,Norman Police Department,23.0,48.0,2.0869565217391304
OK0550300,Edmond Police Department,13.0,22.0,1.6923076923076923
OK0600200,Stillwater Police Department,9.0,7.0,0.7777777777777778
OR0020100,Corvallis Police Department,0.0,2.0,inf
OR0030000,Clackamas County Sheriff's Office,29.0,40.0,1.3793103448275863
OR0090000,Deschutes County Sheriff's Office,8.0,3.0,0.375
OR0090100,Bend Police Department,6.0,1.0,0.16666666666666666
OR0100000,Douglas County Sheriff's Office,9.0,14.0,1.5555555555555556
OR0150000,Jackson County Sheriff's Office,11.0,4.0,0.36363636363636365
OR0150400,Medford Police Department,29.0,10.0,0.3448275862068966
OR0200200,Eugene Police Department,13.0,33.0,2.5384615384615383
OR0200600,Springfield Police Department,2.0,8.0,4.0
