ori,,2019,2020,2021,perc_19_19,perc_20_19,perc_21_19
OK0550300,Edmond Police Department,13,23,22,1,1.769230769,1.692307692
OK0600200,Stillwater Police Department,9,19,7,1,2.111111111,0.777777778
OR0020100,Corvallis Police Department,0,3,2,#DIV/0!,#DIV/0!,#DIV/0!
OR0030000,Clackamas County Sheriff's Office,29,40,40,1,1.379310345,1.379310345
OR0090000,Deschutes County Sheriff's Office,8,4,3,1,0.5,0.375
OR0090100,Bend Police Department,6,2,1,1,0.333333333,0.166666667
OR0100000,Douglas County Sheriff's Office,9,24,14,1,2.666666667,1.555555556
OR0150000,Jackson County Sheriff's Office,11,2,4,1,0.181818182,0.363636364
OR0150400,Medford Police Department,29,24,10,1,0.827586207,0.344827586
OR0200200,Eugene Police Department,13,24,33,1,1.846153846,2.538461538
OR0200600,Springfield Police Department,2,8,8,1,4,4
OR0220000,Linn County Sheriff's Office,2,3,0,1,1.5,0
OR0220100,Albany Police Department,4,2,2,1,0.5,0.5
OR0240200,Salem Police Department,69,72,91,1,1.043478261,1.31884058
OR0260100,Gresham Police Department,33,64,81,1,1.939393939,2.454545455
OR0260200,Portland Police Department,327,396,756,1,1.211009174,2.311926606
OR0340000,Washington County Sheriff's Office,26,42,50,1,1.615384615,1.923076923
OR0340100,Beaverton Police Department,20,19,21,1,0.95,1.05
OR0340300,Hillsboro Police Department,16,28,18,1,1.75,1.125
OR0340400,Tigard Police Department,12,14,14,1,1.166666667,1.166666667
RI0020300,Warwick Police Department,2,4,6,1,2,3
RI0040200,Cranston Police Department,5,6,14,1,1.2,2.8
RI0040800,Pawtucket Police Department,27,42,52,1,1.555555556,1.925925926
RI0040900,Providence Police Department,85,116,98,1,1.364705882,1.152941176
SC0040000,Anderson County Sheriff's Office,191,264,258,1,1.382198953,1.35078534
SC0070000,Beaufort County Sheriff's Office,114,137,136,1,1.201754386,1.192982456
SC0080000,Berkeley County Sheriff's Office,69,131,120,1,1.898550725,1.739130435
SC0100000,Charleston County Sheriff's Office,47,34,50,1,0.723404255,1.063829787
SC0100100,Charleston Police Department,124,167,178,1,1.346774194,1.435483871
SC0100300,Mount Pleasant Police Department,12,17,17,1,1.416666667,1.416666667
