ori,,inc
TXHPD0000,Houston Police Department,1
UT0030100,Logan Police Department,1
UT0060300,Layton Police Department,1
UT0180000,Salt Lake County Unified Police Department,0
UT0180300,Salt Lake City Police Department,1
UT0180600,West Jordan Police Department,1
UT0181800,South Jordan Police Department,1
UT0182500,West Valley Police Department,1
UT0250000,Utah County Sheriff's Office,0
UT0250600,Provo Police Department,0
UT0270100,St. George Police Department,1
UT0290000,Weber County Sheriff's Office,1
UT0290100,Ogden Police Department,1
VA0020300,Albemarle County Police Department,1
VA0070100,Arlington County Police Department,1
VA0080000,Augusta County Sheriff's Office,0
VA0100000,Bedford County Sheriff's Office,1
VA0160000,Campbell County Sheriff's Office,1
VA0210100,Chesterfield County Police Department,1
VA0290100,Fairfax County Police Department,1
VA0300000,Fauquier County Sheriff's Office,1
VA0330000,Franklin County Sheriff's Office,1
VA0340000,Frederick County Sheriff's Office,0
VA0420000,Hanover County Sheriff's Office,1
VA0430100,Henrico County Police Department,1
VA0470100,James City County Police Department,0
VA0530000,Loudoun County Sheriff's Office,0
VA0530100,Leesburg Police Department,1
VA0710000,Pittsylvania County Sheriff's Office,0
VA0750300,Prince William County Police Department,1
VA0800300,Roanoke County Police Department,1
VA0820000,Rockingham County Sheriff's Office,1
VA0880000,Spotsylvania County Sheriff's Office,1
VA0890000,Stafford County Sheriff's Office,1
VA0980000,York County Sheriff's Office,1
VA0990000,Alexandria Police Department,1
VA1030000,Chesapeake Police Department,1
VA1110000,Hampton Police Department,1
VA1120000,Harrisonburg Police Department,0
VA1140000,Lynchburg Police Department,1
VA1160000,Newport News Police Department,1
VA1170000,Norfolk Police Department,1
VA1200000,Portsmouth Police Department,0
VA1220000,Richmond Police Department,1
VA1230000,Roanoke Police Department,1
VA1270000,Suffolk Police Department,1
VA1280000,Virginia Beach Police Department,1
WA0030100,Kennewick Police Department,1
WA0030200,Richland Police Department,1
WA0060000,Clark County Sheriff's Office,1
WA0060300,Vancouver Police Department,1
WA0110200,Pasco Police Department,1
WA0150000,Island County Sheriff's Office,0
WA0170000,King County Sheriff's Office,1
WA0170100,Auburn Police Department,0
WA0170200,Bellevue Police Department,1
WA0170700,Kent Police Department,1
WA0170800,Kirkland Police Department,0
WA0171200,Redmond Police Department,0
WA0171300,Renton Police Department,1
WA0173600,Federal Way Police Department,1
WA0174100,Burien Police Department,1
WA0174300,Shoreline Police Department,1
WA0175000,Sammamish Police Department,1
WA0180000,Kitsap County Sheriff's Office,1
WA0230000,Mason County Sheriff's Office,0
WA0270000,Pierce County Sheriff's Office,1
WA0270300,Tacoma Police Department,1
WA0272300,Lakewood Police Department,1
WA0290000,Skagit County Sheriff's Office,0
WA0310000,Snohomish County Sheriff's Office,1
WA0310300,Everett Police Department,1
WA0310500,Marysville Police Department,1
WA0320000,Spokane County Sheriff's Office,1
WA0320400,Spokane Police Department,1
WA0321500,Spokane Valley Police Department,1
WA0340000,Thurston County Sheriff's Office,1
WA0340100,Olympia Police Department,1
WA0340400,Lacey Police Department,1
WA0370000,Whatcom County Sheriff's Office,0
WA0370100,Bellingham Police Department,1
WA0390000,Yakima County Sheriff's Office,1
WA0390500,Yakima Police Department,1
WASPD0000,Seattle Police Department,1
WI0050000,Brown County Sheriff's Office,0
WI0050200,Green Bay Police Department,1
WI0130000,Dane County Sheriff's Office,1
WI0130100,Madison Police Department,1
WI0180100,Eau Claire Police Department,0
WI0320100,La Crosse Police Department,0
WI0370000,Marathon County Sheriff's Office,0
WI0411600,West Allis Police Department,0
WI0450000,Outagamie County Sheriff's Office,0
WI0450100,Appleton Police Department,1
WI0520200,Racine Police Department,1
WI0540200,Janesville Police Department,0
WI0560000,St. Croix County Sheriff's Office,1
WI0710300,Oshkosh Police Department,0
WIMPD0000,Milwaukee Police Department,1
WV0020000,Berkeley County Sheriff's Office,1
WV0200000,Kanawha County Sheriff's Office,0
WV0310000,Monongalia County Sheriff's Office,1
WV0410000,Raleigh County Sheriff's Office,1
A,R,0
A,R,0
A,R,0
A,R,0
A,R,0
A,R,0
A,R,0
A,R,0
A,R,0
A,R,0
A,R,0
A,Z,0
A,Z,0
A,Z,0
A,Z,0
C,O,0
C,O,0
C,O,0
C,O,0
C,O,0
C,O,0
C,O,0
C,O,0
C,O,0
C,O,0
C,O,0
C,O,0
C,O,0
C,O,0
C,O,0
C,O,0
C,O,0
C,O,0
C,O,0
C,O,0
C,O,0
C,O,0
C,O,0
C,O,0
C,O,0
C,O,0
C,O,0
C,O,0
C,O,0
C,T,0
C,T,0
C,T,0
C,T,0
C,T,0
C,T,0
C,T,0
C,T,0
C,T,0
C,T,0
C,T,0
C,T,0
C,T,0
C,T,0
D,E,0
D,E,0
D,E,0
D,E,0
G,A,0
G,A,0
G,A,0
G,A,0
G,A,0
H,I,0
I,A,0
I,A,0
I,A,0
I,A,0
I,A,0
I,A,0
I,A,0
I,A,0
I,A,0
I,A,0
I,A,0
I,A,0
I,D,0
I,D,0
I,D,0
I,D,0
I,D,0
I,D,0
I,D,0
I,D,0
I,D,0
I,D,0
I,D,0
I,L,0
I,N,0
I,N,0
I,N,0
I,N,0
I,N,0
K,S,0
K,S,0
K,S,0
K,S,0
K,S,0
K,Y,0
K,Y,0
K,Y,0
K,Y,0
K,Y,0
K,Y,0
K,Y,0
K,Y,0
K,Y,0
K,Y,0
L,A,0
L,A,0
L,A,0
L,A,0
L,A,0
M,A,0
M,A,0
M,A,0
M,A,0
M,A,0
M,A,0
M,A,0
M,A,0
M,A,0
M,A,0
M,A,0
M,A,0
M,A,0
M,A,0
M,A,0
M,A,0
M,A,0
M,A,0
M,A,0
M,A,0
M,A,0
M,A,0
M,A,0
M,A,0
M,D,0
M,E,0
M,I,0
M,I,0
M,I,0
M,I,0
M,I,0
M,I,0
M,I,0
M,I,0
M,I,0
M,I,0
M,I,0
M,I,0
M,I,0
M,I,0
M,I,0
M,I,0
M,I,0
M,I,0
M,I,0
M,I,0
M,I,0
M,I,0
M,I,0
M,I,0
M,I,0
M,I,0
M,I,0
M,I,0
M,I,0
M,I,0
M,I,0
M,I,0
M,I,0
M,I,0
M,I,0
M,I,0
M,I,0
M,I,0
M,I,0
M,I,0
M,I,0
M,I,0
M,I,0
M,I,0
M,I,0
M,I,0
M,I,0
M,I,0
M,N,0
M,N,0
M,N,0
M,N,0
M,N,0
M,N,0
M,O,0
M,O,0
M,O,0
M,O,0
M,O,0
M,O,0
M,O,0
M,S,0
M,S,0
M,S,0
M,T,0
M,T,0
M,T,0
M,T,0
M,T,0
M,T,0
N,B,0
N,B,0
N,B,0
N,B,0
N,C,0
N,C,0
N,C,0
N,C,0
N,C,0
N,C,0
N,C,0
N,C,0
N,C,0
N,C,0
N,C,0
N,C,0
N,C,0
N,C,0
